header,description,platforms
AbnormalTerminationNotification,,"Kubernetes, Linux, Falcon Container, Vmcluster"
AccessoryConnected,Sent when the device connects to an external accessory. This event will only be sent if the Connected Bluetooth devices setting is enabled in Mobile Policies.,"Android, iOS"
AccessoryDisconnected,Sent when a device disconnects from an external accessory. This event will only be sent if the Connected Bluetooth devices setting is enabled in Mobile Policies.,"Android, iOS"
ActiveDirectoryAccountCreated,Indicates the creation of the subject account.,Windows
ActiveDirectoryAccountDepartmentUpdate,Indicates a change to the subject account's department.,Windows
ActiveDirectoryAccountDirectContainingGroupEntitiesUpdate,,Windows
ActiveDirectoryAccountDisabled,Indicates the subject account has been disabled.,Windows
ActiveDirectoryAccountEnabled,Indicates the subject account has been enabled.,Windows
ActiveDirectoryAccountFlattenedContainingGroupEntitiesUpdate,,Windows
ActiveDirectoryAccountLocked,Indicates the subject account has been locked.,Windows
ActiveDirectoryAccountNameUpdate,Indicates a change to the subject account's SAM account name.,Windows
ActiveDirectoryAccountOuUpdate,Indicates a change to the subject account's organizational unit.,Windows
ActiveDirectoryAccountPasswordUpdate,Indicates a change to the subject account's password.,Windows
ActiveDirectoryAccountUnlocked,Indicates the subject account has been unlocked.,Windows
ActiveDirectoryAuditGpoModified,,Windows
ActiveDirectoryAuditGroupMemberModified,,Windows
ActiveDirectoryAuditGroupModified,,Windows
ActiveDirectoryAuditPasswordModificationAttempt,,Windows
ActiveDirectoryAuditUserModified,,Windows
ActiveDirectoryAuthentication,Indicates that the Domain Controller handled one or more successful authentications by an account on an endpoint.,Windows
ActiveDirectoryAuthenticationFailure,Indicates that the Domain Controller handled one or more failed authentications by an account on an endpoint.,Windows
ActiveDirectoryIncomingDceRpcEpmRequest,Indicates that the Domain Controller must handle one or more incoming DCE/RPC EPM (Endpoint Manager) requests from an account on an endpoint.,Windows
ActiveDirectoryIncomingDceRpcRequest,Indicates that the Domain Controller must handle one or more incoming DCE/RPC requests from an account on an endpoint.,Windows
ActiveDirectoryIncomingLdapSearchRequest,Indicates that the Domain Controller must handle one or more LDAP search requests from an account on an endpoint.,Windows
ActiveDirectoryIncomingPsExecExecution2,"Indicates remote code execution on a domain controller using PsExec. This event is generated based on a REMOTE_INTERACTIVE type ActiveDirectoryIncomingDceRpcEpmRequest event that correlates with an ActiveDirectoryServiceAccessRequest event to the Common Internet File System (CIFS) or a host Service Principal Name (SPN). This event replaces the ActiveDirectoryIncomingPsExecExecution event, which is now obsolete.",Windows
ActiveDirectoryInteractiveDomainLogon,Indicates an interactive logon to an Active Directry domain handled by a Domain Controller. The interactive logon is combined of initial authentication following by some service access events.,Windows
ActiveDirectoryServiceAccessRequest,Indicates that the Domain Controller handled one or more successful service requests from an account on an endpoint. The requests were to a service identified by an Active Directory account.,Windows
ActiveDirectoryServiceAccessRequestFailure,Indicates that the Domain Controller handled one or more failed service requests from an account on an endpoint. The requests were to a service identified by an Active Directory account.,Windows
